"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","966","should successfully log in with valid credentials","chromium","Fri May 02 18:34:54 EDT 2025","passed","Fri May 02 18:34:55 EDT 2025","Login Tests","loginApplication.spec.ts","",""
"","30420","Negative - Update bio with empty value shows error","webkit","Fri May 02 12:58:02 EDT 2025","broken","Fri May 02 12:58:32 EDT 2025","","userSettings.test.spec.ts","",""
"","33123","Negative - Update bio with empty value shows error","firefox","Fri May 02 12:57:03 EDT 2025","broken","Fri May 02 12:57:36 EDT 2025","","userSettings.test.spec.ts","",""
"","12143","Negative - Update bio with empty value shows error","chromium","Sat May 03 05:57:44 EDT 2025","failed","Sat May 03 05:57:57 EDT 2025","User Settings","userSettings.test.spec.ts","",""
"","38577","Update User Settings","chromium","Fri May 02 12:56:00 EDT 2025","broken","Fri May 02 12:56:39 EDT 2025","","userSettings.test.spec.ts","",""
"","8228","Create New Article","firefox","Sun May 04 10:39:47 EDT 2025","passed","Sun May 04 10:39:55 EDT 2025","Article Operations","article.test.spec.ts","",""
"","33218","Update User Settings","firefox","Fri May 02 12:57:03 EDT 2025","broken","Fri May 02 12:57:36 EDT 2025","","userSettings.test.spec.ts","",""
"","5125","Edit Article","chromium","Fri May 02 19:49:12 EDT 2025","passed","Fri May 02 19:49:17 EDT 2025","Article Operations","article.test.spec.ts","",""
"","2341","Edit Article","webkit","Fri May 02 19:26:22 EDT 2025","failed","Fri May 02 19:26:25 EDT 2025","Article Operations","article.test.spec.ts","",""
"","30139","Filter Articles by Tag","firefox","Fri May 02 09:04:44 EDT 2025","broken","Fri May 02 09:05:15 EDT 2025","Article Operations","article.test.spec.ts","",""
"","38720","Negative - Update bio with empty value shows error","chromium","Fri May 02 12:56:00 EDT 2025","broken","Fri May 02 12:56:39 EDT 2025","","userSettings.test.spec.ts","",""
"","4211","Delete Article","chromium","Fri May 02 18:16:08 EDT 2025","passed","Fri May 02 18:16:13 EDT 2025","Article Operations","article.test.spec.ts","",""
"","5260","Create New Article","chromium","Sun May 04 10:39:47 EDT 2025","passed","Sun May 04 10:39:52 EDT 2025","Article Operations","article.test.spec.ts","",""
"","3587","Update user settings","chromium","Sat May 03 06:33:51 EDT 2025","passed","Sat May 03 06:33:55 EDT 2025","User Settings","userSettings.test.spec.ts","",""
"","2437","should successfully log in with valid credentials","chromium","Fri May 02 13:36:55 EDT 2025","passed","Fri May 02 13:36:57 EDT 2025","Login Tests","login.test.spec.js","",""
"","5443","Create New Article","webkit","Sun May 04 10:40:01 EDT 2025","passed","Sun May 04 10:40:06 EDT 2025","Article Operations","article.test.spec.ts","",""
"","4246","Delete Article","chromium","Sat May 03 07:16:40 EDT 2025","passed","Sat May 03 07:16:44 EDT 2025","Article Operations","deleteArticle.test.spec.ts","",""
"","30311","Delete Article","webkit","Fri May 02 18:13:32 EDT 2025","broken","Fri May 02 18:14:03 EDT 2025","Article Operations","article.test.spec.ts","",""
"","5393","Edit Article","chromium","Sat May 03 07:46:06 EDT 2025","passed","Sat May 03 07:46:12 EDT 2025","Article Operations","editArticle.test.spec.ts","",""
"","7282","Edit Article","firefox","Fri May 02 19:26:08 EDT 2025","failed","Fri May 02 19:26:16 EDT 2025","Article Operations","article.test.spec.ts","",""
"","30301","Update User Settings","webkit","Fri May 02 12:58:02 EDT 2025","broken","Fri May 02 12:58:32 EDT 2025","","userSettings.test.spec.ts","",""
"","20366","Negative - Create article without title shows error","firefox","Sat May 03 05:54:43 EDT 2025","passed","Sat May 03 05:55:03 EDT 2025","Article Operations","article.test.spec.ts","",""
"","8798","Negative - Create article without title shows error","chromium","Sat May 03 05:54:31 EDT 2025","passed","Sat May 03 05:54:40 EDT 2025","Article Operations","article.test.spec.ts","",""
"","12349","Delete Article","firefox","Fri May 02 18:13:13 EDT 2025","passed","Fri May 02 18:13:26 EDT 2025","Article Operations","article.test.spec.ts","",""
"","3030","should successfully log in with valid credentials","webkit","Fri May 02 13:45:43 EDT 2025","passed","Fri May 02 13:45:46 EDT 2025","Login Tests","login.test.spec.ts","",""
"","30278","Filter Articles by Tag","webkit","Fri May 02 09:06:06 EDT 2025","broken","Fri May 02 09:06:36 EDT 2025","Article Operations","article.test.spec.ts","",""
"","32648","Filter Articles by Tag","chromium","Fri May 02 09:13:43 EDT 2025","broken","Fri May 02 09:14:15 EDT 2025","Article Operations","article.test.spec.ts","",""
"","3206","should successfully log in with valid credentials","chromium","Fri May 02 13:45:23 EDT 2025","passed","Fri May 02 13:45:26 EDT 2025","Login Tests","login.test.spec.ts","",""
"","10461","should successfully log in with valid credentials","firefox","Fri May 02 13:45:23 EDT 2025","passed","Fri May 02 13:45:33 EDT 2025","Login Tests","login.test.spec.ts","",""
"","5425","Negative - Create article without title shows error","webkit","Sat May 03 05:55:08 EDT 2025","passed","Sat May 03 05:55:14 EDT 2025","Article Operations","article.test.spec.ts","",""
